Job,Release,Resultado,Count
"1_build",Missing,FAILURE,2
"1_build",Missing,SUCCESS,2
"Validação de Código com Sonar",Missing,FAILURE,26
"2-CIMS_Despliegue",Missing,FAILURE,5
"2-CIMS_Despliegue",Missing,SUCCESS,3
"1-Tronweb_Build",Missing,SUCCESS,28
"1-Tronweb_Build",Missing,FAILURE,14
"2-Tronweb_Despliegue","2018.12",SUCCESS,16
"2-Tronweb_Despliegue","2018.01",SUCCESS,10
"2-Tronweb_Despliegue","2018.01",FAILURE,3
"01-CIMS_Despliegue",Missing,SUCCESS,17
"01-CIMS_Despliegue",Missing,FAILURE,9
"Newtron and Tronweb",Missing,FAILURE,17
"Newtron and Tronweb",Missing,SUCCESS,1
"02-Backend_Newtron_Despliegue","2018.12",FAILURE,6
"02-Backend_Newtron_Despliegue","2018.12",SUCCESS,3
"02-Backend_Newtron_Despliegue","2018.01",SUCCESS,2
"02-Backend_Newtron_Despliegue","2018.01",FAILURE,1
"3-Tronweb_Despliegue","2018.01",SUCCESS,5
"3-Tronweb_Despliegue","2018.01",FAILURE,1
"3-Tronweb_Despliegue","2018.12",SUCCESS,6
"01-Modules_Newtron_Despliegue","2018.01",SUCCESS,2
"01-Modules_Newtron_Despliegue","2018.01",FAILURE,1
"01-Modules_Newtron_Despliegue","2018.12",SUCCESS,3
"01-Modules_Newtron_Despliegue",,FAILURE,1
"1 - Modules_Newtron",Missing,SUCCESS,4
"1 - Modules_Newtron",Missing,FAILURE,3
"2 - Backend_Newtron",Missing,FAILURE,7
"2-Modules_Newtron_Despliegue","2018.12",SUCCESS,4
"2-Modules_Newtron_Despliegue",Missing,SUCCESS,2
"03-Frontend_newtron_Despliegue","2018.01",SUCCESS,2
"03-Frontend_newtron_Despliegue","2018.01",FAILURE,1
"03-Frontend_newtron_Despliegue","2018.12",SUCCESS,1
"4-Frontend_newtron_Despliegue","2018.12",FAILURE,1
"4-Frontend_newtron_Despliegue","2018.12",SUCCESS,1
"4-Frontend_newtron_Despliegue",Missing,FAILURE,1
"4-Frontend_newtron_Despliegue",Missing,SUCCESS,1
"Newtron_and_Tronweb",Missing,SUCCESS,3
"Newtron_and_Tronweb",Missing,FAILURE,1
"3 - Frontend_newtron",Missing,FAILURE,2
"3 - Frontend_newtron",Missing,SUCCESS,1
"CIMS_Executor",Missing,SUCCESS,3
"3-Backend_Newtron_Despliegue","2018.12",FAILURE,2
"2-Backend_Newtron_Despliegue","2018.01",SUCCESS,1
